Name,set
Enter the Infinite,GTC
Wasteland Viper,GTC
Boros Keyrune,GTC
Homing Lightning,GTC
Spire Tracer,GTC
Syndic of Tithes,GTC
Knight Watch,GTC
Wojek Halberdiers,GTC
Hydroform,GTC
Sage's Row Denizen,GTC
Razortip Whip,GTC
Madcap Skills,GTC
Disciple of the Old Ways,GTC
Scatter Arc,GTC
Realmwright,GTC
Truefire Paladin,GTC
Tower Defense,GTC
Voidwalk,GTC
Knight Watch,GTC
Gutter Skulk,GTC
Executioner's Swing,GTC
Grisly Spectacle,GTC
Ember Beast,GTC
Skygames,GTC
Slate Street Ruffian,GTC
Orzhov Guildgate,GTC
Adaptive Snapjaw,GTC
Pit Fight,GTC
Sylvan Primordial,GTC
Coerced Confession,GTC
Hindervines,GTC
Orzhov Keyrune,GTC
Skyknight Legionnaire,GTC
Orzhov Guildgate,GTC
Adaptive Snapjaw,GTC
Bomber Corps,GTC
Midnight Recovery,GTC
Last Thoughts,GTC
Shadow Slice,GTC
Slaughterhorn,GTC
Dutiful Thrull,GTC
Drakewing Krasis,GTC
Luminate Primordial,GTC
Righteous Charge,GTC
Dimir Keyrune,GTC
Merfolk of the Depths,GTC
Predator's Rapport,GTC
Contaminated Ground,GTC
Shambleshark,GTC
Primal Visitation,GTC
Basilica Guards,GTC
Ember Beast,GTC
Skygames,GTC
Slate Street Ruffian,GTC
Orzhov Guildgate,GTC
Hands of Binding,GTC
Skarrg Goliath,GTC
Fortress Cyclops,GTC
Incursion Specialist,GTC
Vizkopa Confessor,GTC
Madcap Skills,GTC
Towering Thunderfist,GTC
Basilica Screecher,GTC
Way of the Thief,GTC
Bioshift,GTC
Grisly Spectacle,GTC
Act of Treason,GTC
Balustrade Spy,GTC
Shielded Passage,GTC
Riot Gear,GTC
Illusionist's Bracers,GTC
Dimir Charm,GTC
Debtor's Pulpit,GTC
Simic Keyrune,GTC
Last Thoughts,GTC
Smite,GTC
Crocanura,GTC
Hands of Binding,GTC
Bioshift,GTC
Wojek Halberdiers,GTC
Nav Squad Commandos,GTC
Verdant Haven,GTC
Horror of the Dim,GTC
Skygames,GTC
Ogre Slumlord,GTC
Bane Alley Broker,GTC
Gruul Keyrune,GTC
Dimir Keyrune,GTC
Guildscorn Ward,GTC
Clinging Anemones,GTC
Millennial Gargoyle,GTC
Forced Adaptation,GTC
Shadow Slice,GTC
Slaughterhorn,GTC
Dutiful Thrull,GTC
Psychic Strike,GTC
Balustrade Spy,GTC
Ivy Lane Denizen,GTC
Rubblehulk,GTC
Gruul Charm,GTC
Killing Glare,GTC
Incursion Specialist,GTC
Death's Approach,GTC
Sage's Row Denizen,GTC
Devour Flesh,GTC
Predator's Rapport,GTC
Pit Fight,GTC
Psychic Strike,GTC
Horror of the Dim,GTC
Shielded Passage,GTC
Razortip Whip,GTC
Furious Resistance,GTC
Treasury Thrull,GTC
Gruul Charm,GTC
Smog Elemental,GTC
Zameck Guildmage,GTC
Warmind Infantry,GTC
Wojek Halberdiers,GTC
Mortus Strider,GTC
Burst of Strength,GTC
Prophetic Prism,GTC
Orzhov Guildgate,GTC
Totally Lost,GTC
Assault Griffin,GTC
Warmind Infantry,GTC
Metropolis Sprite,GTC
Merciless Eviction,GTC
Call of the Nightwing,GTC
Debtor's Pulpit,GTC
Urban Evolution,GTC
Purge the Profane,GTC
Millennial Gargoyle,GTC
Act of Treason,GTC
Forced Adaptation,GTC
Nav Squad Commandos,GTC
Tin Street Market,GTC
Disciple of the Old Ways,GTC
Shadow Alley Denizen,GTC
Way of the Thief,GTC
Gutter Skulk,GTC
Stolen Identity,GTC
Dinrova Horror,GTC
Illness in the Ranks,GTC
Firefist Striker,GTC
Syndic of Tithes,GTC
Frilled Oculus,GTC
Basilica Screecher,GTC
Ruination Wurm,GTC
Paranoid Delusions,GTC
Assault Griffin,GTC
Adaptive Snapjaw,GTC
Syndicate Enforcer,GTC
Skinbrand Goblin,GTC
Simic Guildgate,GTC
Mystic Genesis,GTC
Hold the Gates,GTC
Ripscale Predator,GTC
Wasteland Viper,GTC
Basilica Guards,GTC
Daring Skyjek,GTC
Towering Thunderfist,GTC
Hands of Binding,GTC
Greenside Watcher,GTC
Bioshift,GTC
Wojek Halberdiers,GTC
Horror of the Dim,GTC
Guildscorn Ward,GTC
Razortip Whip,GTC
Alms Beast,GTC
Vizkopa Confessor,GTC
Thrull Parasite,GTC
Crowned Ceratok,GTC
Armored Transport,GTC
Syndicate Enforcer,GTC
Burst of Strength,GTC
Leyline Phantom,GTC
Pit Fight,GTC
Psychic Strike,GTC
Orzhov Guildgate,GTC
Adaptive Snapjaw,GTC
Bomber Corps,GTC
Midnight Recovery,GTC
Whispering Madness,GTC
Hellraiser Goblin,GTC
Gruul Charm,GTC
Righteous Charge,GTC
Clinging Anemones,GTC
Furious Resistance,GTC
Forced Adaptation,GTC
Millennial Gargoyle,GTC
Scab-Clan Charger,GTC
Leyline Phantom,GTC
Deathcult Rogue,GTC
Pit Fight,GTC
Foundry Street Denizen,GTC
Corpse Blockade,GTC
Clan Defiance,GTC
Killing Glare,GTC
Arrows of Justice,GTC
Crackling Perimeter,GTC
Gutter Skulk,GTC
Frilled Oculus,GTC
Syndic of Tithes,GTC
Shadow Alley Denizen,GTC
Towering Thunderfist,GTC
Basilica Screecher,GTC
Bioshift,GTC
Wojek Halberdiers,GTC
Bomber Corps,GTC
Court Street Denizen,GTC
Fathom Mage,GTC
Urbis Protector,GTC
Wasteland Viper,GTC
Murder Investigation,GTC
Wildwood Rebirth,GTC
Dimir Guildgate,GTC
Prophetic Prism,GTC
Devour Flesh,GTC
Predator's Rapport,GTC
Scorchwalker,GTC
Leyline Phantom,GTC
Primal Visitation,GTC
Wojek Halberdiers,GTC
Mugging,GTC
Foundry Champion,GTC
Voidwalk,GTC
Hellraiser Goblin,GTC
Elusive Krasis,GTC
Paranoid Delusions,GTC
Drakewing Krasis,GTC
Armored Transport,GTC
Syndicate Enforcer,GTC
Burst of Strength,GTC
Basilica Guards,GTC
Slate Street Ruffian,GTC
Orzhov Guildgate,GTC
Crocanura,GTC
Biomass Mutation,GTC
Voidwalk,GTC
Simic Fluxmage,GTC
Agoraphobia,GTC
Totally Lost,GTC
Boros Guildgate,GTC
Assault Griffin,GTC
Adaptive Snapjaw,GTC
Skinbrand Goblin,GTC
Devour Flesh,GTC
Predator's Rapport,GTC
Scorchwalker,GTC
Mortus Strider,GTC
Shambleshark,GTC
Five-Alarm Fire,GTC
Dying Wish,GTC
Simic Fluxmage,GTC
Mental Vapors,GTC
Hands of Binding,GTC
Greenside Watcher,GTC
Devour Flesh,GTC
Hydroform,GTC
Ruination Wurm,GTC
Millennial Gargoyle,GTC
Verdant Haven,GTC
Sage's Row Denizen,GTC
Act of Treason,GTC
Devour Flesh,GTC
Corpse Blockade,GTC
Unexpected Results,GTC
Zameck Guildmage,GTC
Crackling Perimeter,GTC
Gruul Charm,GTC
Frilled Oculus,GTC
Angelic Edict,GTC
Shadow Slice,GTC
Scatter Arc,GTC
Crocanura,GTC
Towering Thunderfist,GTC
Angelic Edict,GTC
Shadow Alley Denizen,GTC
Deathcult Rogue,GTC
Pit Fight,GTC
Sepulchral Primordial,GTC
Knight Watch,GTC
Righteous Charge,GTC
Homing Lightning,GTC
Viashino Shanktail,GTC
Purge the Profane,GTC
Skyblinder Staff,GTC
Nav Squad Commandos,GTC
Aerial Maneuver,GTC
Basilica Screecher,GTC
Beckon Apparition,GTC
Zhur-Taa Swine,GTC
Bomber Corps,GTC
Midnight Recovery,GTC
Ooze Flux,GTC
One Thousand Lashes,GTC
Gateway Shade,GTC
Dimir Charm,GTC
Act of Treason,GTC
Massive Raid,GTC
Knight Watch,GTC
Hydroform,GTC
Grisly Spectacle,GTC
Adaptive Snapjaw,GTC
Bomber Corps,GTC
Midnight Recovery,GTC
Last Thoughts,GTC
Dimir Guildgate,GTC
Diluvian Primordial,GTC
Mental Vapors,GTC
Hellraiser Goblin,GTC
Elusive Krasis,GTC
Scab-Clan Charger,GTC
Daring Skyjek,GTC
Zhur-Taa Swine,GTC
Mugging,GTC
Death's Approach,GTC
Balustrade Spy,GTC
Guildscorn Ward,GTC
Furious Resistance,GTC
Shadow Alley Denizen,GTC
Crocanura,GTC
Undercity Plague,GTC
Gridlock,GTC
Wasteland Viper,GTC
Arrows of Justice,GTC
Dimir Guildgate,GTC
Prophetic Prism,GTC
Midnight Recovery,GTC
Foundry Street Denizen,GTC
Zarichi Tiger,GTC
Structural Collapse,GTC
Scab-Clan Charger,GTC
Leyline Phantom,GTC
Leyline Phantom,GTC
Hands of Binding,GTC
Molten Primordial,GTC
Urbis Protector,GTC
Gruul Keyrune,GTC
Thrull Parasite,GTC
Clinging Anemones,GTC
Spire Tracer,GTC
Shadow Slice,GTC
Warmind Infantry,GTC
Beckon Apparition,GTC
Drakewing Krasis,GTC
Martial Glory,GTC
Psychic Strike,GTC
Furious Resistance,GTC
Forced Adaptation,GTC
Wrecking Ogre,GTC
Hold the Gates,GTC
Sapphire Drake,GTC
One Thousand Lashes,GTC
Spire Tracer,GTC
Syndic of Tithes,GTC
Knight Watch,GTC
Mortus Strider,GTC
Ruination Wurm,GTC
Beckon Apparition,GTC
Drakewing Krasis,GTC
Sage's Row Denizen,GTC
Razortip Whip,GTC
Shadow Alley Denizen,GTC
Firefist Striker,GTC
Massive Raid,GTC
Hellraiser Goblin,GTC
Furious Resistance,GTC
Ember Beast,GTC
Towering Thunderfist,GTC
Crackling Perimeter,GTC
Ember Beast,GTC
Structural Collapse,GTC
Foundry Street Denizen,GTC
Bomber Corps,GTC
Fortress Cyclops,GTC
Mortus Strider,GTC
Soul Ransom,GTC
Skyknight Legionnaire,GTC
Skyknight Legionnaire,GTC
Paranoid Delusions,GTC
One Thousand Lashes,GTC
Ordruun Veteran,GTC
Gruul Ragebeast,GTC
Biovisionary,GTC
Skyknight Legionnaire,GTC
Hydroform,GTC
Kingpin's Pet,GTC
Primal Visitation,GTC
Frenzied Tilling,GTC
Shambleshark,GTC
Purge the Profane,GTC
Urban Evolution,GTC
Ordruun Veteran,GTC
Spark Trooper,GTC
Bioshift,GTC
Elusive Krasis,GTC
Signal the Clans,GTC
Greenside Watcher,GTC
Forced Adaptation,GTC
Greenside Watcher,GTC
Spire Tracer,GTC
Disciple of the Old Ways,GTC
Burst of Strength,GTC
Disciple of the Old Ways,GTC
Scab-Clan Charger,GTC
Predator's Rapport,GTC
Serene Remembrance,GTC
Wildwood Rebirth,GTC
Simic Manipulator,GTC
Spell Rupture,GTC
Metropolis Sprite,GTC
Way of the Thief,GTC
Simic Fluxmage,GTC
Gridlock,GTC
Scatter Arc,GTC
Cloudfin Raptor,GTC
Spell Rupture,GTC
Basilica Guards,GTC
Zarichi Tiger,GTC
Angelic Edict,GTC
Guildscorn Ward,GTC
Basilica Guards,GTC
Righteous Charge,GTC
Aerial Maneuver,GTC
Syndic of Tithes,GTC
Knight Watch,GTC
Syndic of Tithes,GTC
Nav Squad Commandos,GTC
Simic Guildgate,GTC
Simic Guildgate,GTC
Gruul Guildgate,GTC
Dutiful Thrull,GTC
Angelic Edict,GTC
Armored Transport,GTC
Riot Gear,GTC
Dimir Keyrune,GTC
Orzhov Keyrune,GTC
Orzhov Keyrune,GTC
Gutter Skulk,GTC
Grisly Spectacle,GTC
Slate Street Ruffian,GTC
Grisly Spectacle,GTC
Shadow Alley Denizen,GTC
Undercity Informer,GTC
Gutter Skulk,GTC
Glaring Spotlight,GTC
Simic Fluxmage,GTC
Thrull Parasite,GTC
Cinder Elemental,GTC
Court Street Denizen,GTC
Wildwood Rebirth,GTC
Dimir Guildgate,GTC
Prophetic Prism,GTC
Midnight Recovery,GTC
Scab-Clan Charger,GTC
Daring Skyjek,GTC
Towering Thunderfist,GTC
Shambleshark,GTC
Shattering Blow,GTC
Soul Ransom,GTC
Ripscale Predator,GTC
Frenzied Tilling,GTC
Zameck Guildmage,GTC
Syndicate Enforcer,GTC
Burst of Strength,GTC
Basilica Guards,GTC
Spell Rupture,GTC
Simic Guildgate,GTC
Hydroform,GTC
Grisly Spectacle,GTC
Corpse Blockade,GTC
Armored Transport,GTC
Syndicate Enforcer,GTC
Thespian's Stage,GTC
Voidwalk,GTC
Simic Fluxmage,GTC
Skarrg Guildmage,GTC
Burst of Strength,GTC
Basilica Guards,GTC
Spell Rupture,GTC
Syndic of Tithes,GTC
Psychic Strike,GTC
Primal Visitation,GTC
Prophetic Prism,GTC
Midnight Recovery,GTC
Foundry Street Denizen,GTC
Zarichi Tiger,GTC
Rubblebelt Raiders,GTC
Urbis Protector,GTC
Mark for Death,GTC
Ground Assault,GTC
Boros Guildgate,GTC
Skygames,GTC
Aerial Maneuver,GTC
Basilica Screecher,GTC
Disciple of the Old Ways,GTC
Executioner's Swing,GTC
Primal Visitation,GTC
Guildscorn Ward,GTC
Clinging Anemones,GTC
Millennial Gargoyle,GTC
